plan_id,period_end,business_unit_id,region,currency_code,budget_revenue_usd_m,budget_ebitda_usd_m,budget_da_usd_m,budget_tax_rate,budget_capex_usd_m,budget_change_nwc_usd_m,budget_fcf_usd_m,budget_version
BP_202401_BU01_APAC,2024-01-31,BU01,Asia Pacific,USD,162.46,51.16,8.07,0.2254,11.92,-8.32,37.85,FY2024 Annual Budget
BP_202401_BU01_EU,2024-01-31,BU01,Europe,USD,120.78,36.02,6.32,0.2575,7.65,-8.87,29.59,FY2024 Annual Budget
BP_202401_BU01_LATAM,2024-01-31,BU01,Latin America,USD,54.12,16.21,2.76,0.2712,3.43,-1.89,11.02,FY2024 Annual Budget
BP_202401_BU01_NA,2024-01-31,BU01,North America,USD,201.0,60.44,10.49,0.2483,12.74,-15.0,50.3,FY2024 Annual Budget
BP_202401_BU02_APAC,2024-01-31,BU02,Asia Pacific,USD,108.91,18.72,6.65,0.2253,6.69,-53.45,62.76,FY2024 Annual Budget
BP_202401_BU02_EU,2024-01-31,BU02,Europe,USD,120.02,18.77,7.47,0.2584,7.37,-34.97,43.45,FY2024 Annual Budget
BP_202401_BU02_LATAM,2024-01-31,BU02,Latin America,USD,55.92,8.37,3.46,0.272,3.43,-27.23,30.83,FY2024 Annual Budget
BP_202401_BU02_NA,2024-01-31,BU02,North America,USD,180.25,29.05,11.22,0.2473,11.07,-67.49,81.06,FY2024 Annual Budget
BP_202401_BU03_APAC,2024-01-31,BU03,Asia Pacific,USD,96.57,25.15,5.89,0.2254,7.44,-0.48,13.85,FY2024 Annual Budget
BP_202401_BU03_EU,2024-01-31,BU03,Europe,USD,115.57,28.37,7.27,0.2576,8.9,-1.24,15.27,FY2024 Annual Budget
BP_202401_BU03_LATAM,2024-01-31,BU03,Latin America,USD,37.83,9.16,2.33,0.2715,2.91,-0.72,5.12,FY2024 Annual Budget
BP_202401_BU03_NA,2024-01-31,BU03,North America,USD,219.36,54.65,13.74,0.2482,16.9,-4.8,32.4,FY2024 Annual Budget
BP_202401_BU04_APAC,2024-01-31,BU04,Asia Pacific,USD,118.01,21.94,8.84,0.2261,10.82,-16.99,25.15,FY2024 Annual Budget
BP_202401_BU04_EU,2024-01-31,BU04,Europe,USD,137.57,23.59,11.61,0.2575,12.61,-28.93,36.83,FY2024 Annual Budget
BP_202401_BU04_LATAM,2024-01-31,BU04,Latin America,USD,48.93,8.21,3.68,0.2719,4.48,-9.23,11.73,FY2024 Annual Budget
BP_202401_BU04_NA,2024-01-31,BU04,North America,USD,176.75,31.25,13.56,0.2466,16.2,-49.35,60.04,FY2024 Annual Budget
BP_202401_BU05_APAC,2024-01-31,BU05,Asia Pacific,USD,96.86,32.17,3.62,0.2253,4.91,-11.43,32.26,FY2024 Annual Budget
BP_202401_BU05_EU,2024-01-31,BU05,Europe,USD,62.2,20.54,2.38,0.2579,3.15,-9.9,22.61,FY2024 Annual Budget
BP_202401_BU05_LATAM,2024-01-31,BU05,Latin America,USD,31.17,10.09,1.19,0.2712,1.58,-2.63,8.73,FY2024 Annual Budget
BP_202401_BU05_NA,2024-01-31,BU05,North America,USD,124.14,40.86,4.77,0.2485,6.29,-15.56,41.16,FY2024 Annual Budget
BP_202402_BU01_APAC,2024-02-29,BU01,Asia Pacific,USD,165.0,51.13,8.18,0.2254,12.38,9.22,19.85,FY2024 Annual Budget
BP_202402_BU01_EU,2024-02-29,BU01,Europe,USD,122.27,36.41,6.4,0.2575,7.95,6.38,14.35,FY2024 Annual Budget
BP_202402_BU01_LATAM,2024-02-29,BU01,Latin America,USD,54.81,16.48,2.8,0.2712,3.56,3.03,6.18,FY2024 Annual Budget
BP_202402_BU01_NA,2024-02-29,BU01,North America,USD,203.5,61.94,10.61,0.2483,13.23,9.37,26.59,FY2024 Annual Budget
BP_202402_BU02_APAC,2024-02-29,BU02,Asia Pacific,USD,110.73,18.73,6.69,0.2253,6.98,-34.98,44.02,FY2024 Annual Budget
BP_202402_BU02_EU,2024-02-29,BU02,Europe,USD,121.96,19.59,7.51,0.2584,7.68,-41.93,50.72,FY2024 Annual Budget
BP_202402_BU02_LATAM,2024-02-29,BU02,Latin America,USD,56.85,8.58,3.48,0.272,3.58,-20.03,23.64,FY2024 Annual Budget
BP_202402_BU02_NA,2024-02-29,BU02,North America,USD,183.19,29.74,11.29,0.2473,11.54,-60.77,74.41,FY2024 Annual Budget
BP_202402_BU03_APAC,2024-02-29,BU03,Asia Pacific,USD,97.09,25.41,5.93,0.2254,7.67,1.38,11.97,FY2024 Annual Budget
BP_202402_BU03_EU,2024-02-29,BU03,Europe,USD,116.14,28.07,7.32,0.2576,9.18,0.73,12.81,FY2024 Annual Budget
BP_202402_BU03_LATAM,2024-02-29,BU03,Latin America,USD,38.02,9.13,2.35,0.2715,3.0,0.01,4.28,FY2024 Annual Budget
BP_202402_BU03_NA,2024-02-29,BU03,North America,USD,220.46,54.4,13.84,0.2482,17.42,10.33,16.58,FY2024 Annual Budget
BP_202402_BU04_APAC,2024-02-29,BU04,Asia Pacific,USD,122.33,22.75,8.88,0.2261,11.5,-21.26,29.37,FY2024 Annual Budget
BP_202402_BU04_EU,2024-02-29,BU04,Europe,USD,142.53,24.51,11.66,0.2575,13.4,-12.27,20.07,FY2024 Annual Budget
BP_202402_BU04_LATAM,2024-02-29,BU04,Latin America,USD,50.72,8.61,3.69,0.2719,4.77,-9.05,11.55,FY2024 Annual Budget
BP_202402_BU04_NA,2024-02-29,BU04,North America,USD,183.14,32.33,13.62,0.2466,17.22,4.2,6.3,FY2024 Annual Budget
BP_202402_BU05_APAC,2024-02-29,BU05,Asia Pacific,USD,99.29,33.44,3.61,0.2253,5.16,4.12,17.44,FY2024 Annual Budget
BP_202402_BU05_EU,2024-02-29,BU05,Europe,USD,63.74,20.94,2.37,0.2579,3.31,2.7,10.14,FY2024 Annual Budget
BP_202402_BU05_LATAM,2024-02-29,BU05,Latin America,USD,31.95,10.25,1.18,0.2712,1.66,1.49,4.64,FY2024 Annual Budget
BP_202402_BU05_NA,2024-02-29,BU05,North America,USD,127.21,42.25,4.75,0.2485,6.62,5.38,20.93,FY2024 Annual Budget
BP_202403_BU01_APAC,2024-03-31,BU01,Asia Pacific,USD,178.06,56.06,8.3,0.2254,13.64,1.45,30.2,FY2024 Annual Budget
BP_202403_BU01_EU,2024-03-31,BU01,Europe,USD,131.51,39.86,6.47,0.2575,8.76,0.51,21.99,FY2024 Annual Budget
BP_202403_BU01_LATAM,2024-03-31,BU01,Latin America,USD,58.97,17.87,2.83,0.2712,3.93,0.39,9.47,FY2024 Annual Budget
BP_202403_BU01_NA,2024-03-31,BU01,North America,USD,218.91,68.16,10.74,0.2483,14.58,0.58,38.74,FY2024 Annual Budget
BP_202403_BU02_APAC,2024-03-31,BU02,Asia Pacific,USD,123.41,21.75,6.73,0.2253,7.97,-5.9,16.3,FY2024 Annual Budget
BP_202403_BU02_EU,2024-03-31,BU02,Europe,USD,135.85,22.04,7.56,0.2584,8.77,-6.53,16.06,FY2024 Annual Budget
BP_202403_BU02_LATAM,2024-03-31,BU02,Latin America,USD,63.35,9.83,3.5,0.272,4.09,-3.3,7.32,FY2024 Annual Budget
BP_202403_BU02_NA,2024-03-31,BU02,North America,USD,204.09,33.77,11.37,0.2473,13.18,-12.56,27.61,FY2024 Annual Budget
BP_202403_BU03_APAC,2024-03-31,BU03,Asia Pacific,USD,100.58,26.55,5.98,0.2254,8.14,4.12,9.65,FY2024 Annual Budget
BP_202403_BU03_EU,2024-03-31,BU03,Europe,USD,120.24,29.0,7.38,0.2576,9.74,5.09,8.6,FY2024 Annual Budget
BP_202403_BU03_LATAM,2024-03-31,BU03,Latin America,USD,39.38,9.46,2.37,0.2715,3.19,1.86,2.49,FY2024 Annual Budget
BP_202403_BU03_NA,2024-03-31,BU03,North America,USD,228.28,57.05,13.95,0.2482,18.48,10.17,17.7,FY2024 Annual Budget
BP_202403_BU04_APAC,2024-03-31,BU04,Asia Pacific,USD,133.21,24.79,8.92,0.2261,12.83,21.43,-13.06,FY2024 Annual Budget
BP_202403_BU04_EU,2024-03-31,BU04,Europe,USD,155.11,27.52,11.71,0.2575,14.94,26.98,-18.47,FY2024 Annual Budget
BP_202403_BU04_LATAM,2024-03-31,BU04,Latin America,USD,55.22,9.39,3.71,0.2719,5.32,9.75,-7.22,FY2024 Annual Budget
BP_202403_BU04_NA,2024-03-31,BU04,North America,USD,199.35,36.26,13.69,0.2466,19.21,34.64,-23.16,FY2024 Annual Budget
BP_202403_BU05_APAC,2024-03-31,BU05,Asia Pacific,USD,107.14,36.0,3.6,0.2253,5.74,0.13,22.83,FY2024 Annual Budget
