project_id,project_name,business_unit_id,business_unit_name,region,project_type,strategic_theme,initial_investment_usd_m,risk_score,strategic_priority,wacc_used,npv_usd_m,irr,roi,payback_years,capital_allocation_score,capital_allocation_rank,investment_recommendation,portfolio_selection
P025,European Foundry Consolidation Program,BU04,Industrial Systems,Europe,Cost Optimization,Industrial turnaround,210.0,4,5,0.098,68.04,0.21682807832543283,0.735952380952381,2.75,81.2,1,Strong Invest,Fund
P009,Midwest Packaging Line Automation,BU02,Consumer Brands,North America,Automation,Manufacturing productivity,92.0,2,4,0.098,47.12,0.2525405953338169,1.061304347826087,2.88,79.36,2,Invest,Fund
P021,North American Lab Service Automation,BU03,HealthTech Solutions,North America,Automation,Service productivity,38.0,2,4,0.098,19.61,0.3245074451165011,0.8794736842105264,2.03,74.14,3,Invest,Fund
P013,North American Retail Demand Engine,BU02,Consumer Brands,North America,Digital Transformation,Inventory productivity,31.0,2,4,0.098,17.01,0.3236202727959465,0.9387096774193548,2.05,73.65,4,Invest,Fund
P024,Mexico Diagnostic Service Depot,BU03,HealthTech Solutions,Latin America,Infrastructure Modernization,Equipment uptime,27.0,1,3,0.098,14.4,0.3399927596499639,0.8892592592592594,1.94,72.18,5,Invest,Fund
P018,German Imaging Calibration Center,BU03,HealthTech Solutions,Europe,Infrastructure Modernization,Clinical quality,86.0,2,4,0.098,31.96,0.2158708862163139,0.8598837209302325,3.04,70.12,6,Invest,Fund
P005,AI Coding Assistant Delivery Rollout,BU01,Digital & AI Services,North America,Automation,Delivery productivity,29.0,2,4,0.098,12.6,0.294581786531094,0.7724137931034485,2.05,69.25,7,Invest,Fund
P033,US Real-Time Payment Routing Engine,BU05,FinTech Platforms,North America,Product Innovation,Payment performance,112.0,4,5,0.098,36.66,0.19641829138851752,0.8260714285714287,3.17,68.91,8,Invest,Fund
P016,Mexico Regional Co-Packing Program,BU02,Consumer Brands,Latin America,Cost Optimization,Supply-chain efficiency,28.0,2,3,0.098,12.32,0.3131930983412994,0.755,1.85,66.72,9,Invest,Fund
P017,US Connected Diagnostics Capacity,BU03,HealthTech Solutions,North America,Capacity Expansion,Diagnostic access,150.0,3,5,0.098,33.14,0.16073351575454775,0.7217333333333332,3.57,66.46,10,Invest,Fund
P008,Mexico City Digital Skills Center,BU01,Digital & AI Services,Latin America,Capacity Expansion,Talent development,26.0,2,3,0.098,11.59,0.2801447339273626,0.8188461538461538,2.19,64.42,11,Review,Fund
P003,European Cloud Migration Factory,BU01,Digital & AI Services,Europe,Digital Transformation,Cloud modernization,68.0,2,4,0.098,20.47,0.1990397126199901,0.7332352941176471,2.98,64.38,12,Review,Fund
P014,Poland Concentrated-Detergent Line,BU02,Consumer Brands,Europe,Capacity Expansion,Product concentration,74.0,3,3,0.098,30.81,0.2064707350326933,1.0199999999999998,3.44,63.3,13,Review,Fund
P039,India Merchant Onboarding Automation,BU05,FinTech Platforms,Asia Pacific,Digital Transformation,Merchant acquisition,35.0,3,4,0.098,12.41,0.2454365388550377,0.7040000000000001,2.23,63.13,14,Review,Fund
P026,Ohio Precision Assembly Automation,BU04,Industrial Systems,North America,Automation,Factory productivity,145.0,3,5,0.098,24.78,0.1553246541684652,0.5809655172413793,3.32,62.76,15,Review,Fund
P001,Singapore Sovereign AI Delivery Hub,BU01,Digital & AI Services,Asia Pacific,Capacity Expansion,Enterprise AI adoption,170.0,3,5,0.098,27.26,0.1465221217691537,0.6142941176470589,3.61,62.7,16,Review,Fund
P029,US Plant Predictive Maintenance,BU04,Industrial Systems,North America,Digital Transformation,Asset reliability,34.0,2,4,0.098,9.94,0.22030384148303206,0.6279411764705882,2.3,62.67,17,Review,Fund
P002,North American MLOps Service Platform,BU01,Digital & AI Services,North America,Product Innovation,Recurring digital revenue,78.0,3,5,0.098,17.91,0.1598522925896344,0.762051282051282,3.73,61.05,18,Review,Fund
P031,India Factory Heat Recovery Retrofit,BU04,Industrial Systems,Asia Pacific,Sustainability / Energy Efficiency,Industrial energy savings,46.0,2,4,0.098,9.82,0.18578161331257825,0.5502173913043479,2.81,58.92,20,Review,Fund
P035,Singapore Cross-Border Merchant APIs,BU05,FinTech Platforms,Asia Pacific,Market Expansion,Cross-border commerce,76.0,4,4,0.098,16.64,0.15569740747454053,0.7613157894736844,3.84,53.84,21,Review,Fund
P004,Brazil Analytics Partner Network,BU01,Digital & AI Services,Latin America,Market Expansion,Regional market access,34.0,3,3,0.098,10.02,0.1888448820917843,0.7635294117647059,3.15,53.79,22,Review,Fund
P011,Southeast Asia Personal-Care Launch,BU02,Consumer Brands,Asia Pacific,Market Expansion,Premium brand expansion,59.0,3,4,0.098,10.32,0.14591420535085486,0.6838983050847457,3.87,52.93,23,Review,Fund
P037,North American Fraud Decision Engine,BU05,FinTech Platforms,North America,Automation,Fraud prevention,40.0,3,5,0.098,7.04,0.17740313902402693,0.46699999999999997,2.39,59.16,19,Review,Do Not Fund
P019,Singapore Remote Monitoring Launch,BU03,HealthTech Solutions,Asia Pacific,Product Innovation,Connected care,65.0,4,4,0.098,11.46,0.14938958215548492,0.6515384615384616,3.6,51.44,24,Review,Do Not Fund
P022,European Secure Clinical Data Fabric,BU03,HealthTech Solutions,Europe,Digital Transformation,Clinical data security,71.0,3,5,0.098,2.58,0.10900105680531058,0.45746478873239443,4.01,49.88,25,Review,Do Not Fund
P034,European Merchant Compliance Platform,BU05,FinTech Platforms,Europe,Infrastructure Modernization,Merchant compliance,69.0,2,5,0.098,-1.22,0.09181584424689171,0.3289855072463769,3.98,49.2,26,Reject,Do Not Fund
P015,Thailand Packaging Energy Retrofit,BU02,Consumer Brands,Asia Pacific,Sustainability / Energy Efficiency,Energy efficiency,37.0,2,3,0.098,0.34,0.10197056403981497,0.2894594594594595,3.22,44.39,27,Review,Do Not Fund
P020,Brazil Hospital Integration Network,BU03,HealthTech Solutions,Latin America,Market Expansion,Clinical interoperability,43.0,4,4,0.098,0.87,0.10484238058997541,0.38139534883720927,3.42,43.7,28,Review,Do Not Fund
P010,European Refillable Home-Care Range,BU02,Consumer Brands,Europe,Product Innovation,Circular consumer products,68.0,3,4,0.098,-5.58,0.06677644525610194,0.21441176470588233,3.5,40.42,29,Reject,Do Not Fund
P006,Tokyo Industry Copilot Portfolio,BU01,Digital & AI Services,Asia Pacific,Product Innovation,Vertical AI products,63.0,4,4,0.098,-5.14,0.07182251975725551,0.28174603174603174,4.13,37.29,30,Reject,Do Not Fund
P038,European Treasury Analytics Suite,BU05,FinTech Platforms,Europe,Product Innovation,Treasury software,58.0,4,3,0.098,-3.31,0.08011747222257481,0.3225862068965516,4.15,34.88,31,Reject,Do Not Fund
P027,Vietnam Industrial Controls Expansion,BU04,Industrial Systems,Asia Pacific,Capacity Expansion,Regional capacity,95.0,4,3,0.098,-5.7,0.07912687697171839,0.3174736842105263,4.12,34.02,32,Reject,Do Not Fund
P012,Brazil Retail Distribution Expansion,BU02,Consumer Brands,Latin America,Market Expansion,Route-to-market scale,42.0,4,3,0.098,-6.11,0.045242060253273486,0.15333333333333327,3.71,31.85,33,Reject,Do Not Fund
P023,India Portable Screening Platform,BU03,HealthTech Solutions,Asia Pacific,Product Innovation,Affordable diagnostics,49.0,5,4,0.098,-8.22,0.036429011640322084,0.1216326530612245,3.74,31.58,34,Reject,Do Not Fund
P036,Brazil Embedded Payments Launch,BU05,FinTech Platforms,Latin America,Product Innovation,Merchant monetization,52.0,5,3,0.098,-8.42,0.03667595246998223,0.11846153846153853,3.74,27.75,35,Reject,Do Not Fund
P032,Mexico Aftermarket Parts Hub,BU04,Industrial Systems,Latin America,Market Expansion,Aftermarket growth,33.0,3,3,0.098,-10.68,-0.024961808729714763,-0.08060606060606061,,22.0,36,Reject,Do Not Fund
