project_id,project_name,business_unit_id,region,project_type,strategic_theme,initial_investment_usd_m,start_year,project_life_years,cash_flow_year_1_usd_m,cash_flow_year_2_usd_m,cash_flow_year_3_usd_m,cash_flow_year_4_usd_m,cash_flow_year_5_usd_m,risk_score,strategic_priority,status
P001,Singapore Sovereign AI Delivery Hub,BU01,Asia Pacific,Capacity Expansion,Enterprise AI adoption,170.0,2026,5,8.14,46.13,71.41,72.23,76.52,3,5,Proposed
P002,North American MLOps Service Platform,BU01,North America,Product Innovation,Recurring digital revenue,78.0,2026,5,-0.28,15.88,31.24,42.7,47.9,3,5,Proposed
P003,European Cloud Migration Factory,BU01,Europe,Digital Transformation,Cloud modernization,68.0,2026,4,6.22,24.05,38.51,49.08,0.0,2,4,Proposed
P004,Brazil Analytics Partner Network,BU01,Latin America,Market Expansion,Regional market access,34.0,2026,4,0.78,8.93,19.78,30.47,0.0,3,3,Proposed
P005,AI Coding Assistant Delivery Rollout,BU01,North America,Automation,Delivery productivity,29.0,2026,3,8.64,19.28,23.48,0.0,0.0,2,4,Proposed
P006,Tokyo Industry Copilot Portfolio,BU01,Asia Pacific,Product Innovation,Vertical AI products,63.0,2026,5,-1.2,15.71,23.61,22.31,20.32,4,4,Proposed
P007,Frankfurt GPU Capacity Extension,BU01,Europe,Infrastructure Modernization,Compute resilience,52.0,2026,4,0.68,11.42,14.65,17.47,0.0,4,3,Proposed
P008,Mexico City Digital Skills Center,BU01,Latin America,Capacity Expansion,Talent development,26.0,2026,3,3.91,16.98,26.4,0.0,0.0,2,3,Proposed
P009,Midwest Packaging Line Automation,BU02,North America,Automation,Manufacturing productivity,92.0,2026,5,13.33,36.43,48.06,47.56,44.26,2,4,Proposed
P010,European Refillable Home-Care Range,BU02,Europe,Product Innovation,Circular consumer products,68.0,2026,4,2.59,21.67,29.05,29.27,0.0,3,4,Proposed
P011,Southeast Asia Personal-Care Launch,BU02,Asia Pacific,Market Expansion,Premium brand expansion,59.0,2026,5,0.6,11.26,22.17,28.56,36.76,3,4,Proposed
P012,Brazil Retail Distribution Expansion,BU02,Latin America,Market Expansion,Route-to-market scale,42.0,2026,4,0.83,9.04,16.31,22.26,0.0,4,3,Proposed
P013,North American Retail Demand Engine,BU02,North America,Digital Transformation,Inventory productivity,31.0,2026,3,5.17,24.41,30.52,0.0,0.0,2,4,Proposed
P014,Poland Concentrated-Detergent Line,BU02,Europe,Capacity Expansion,Product concentration,74.0,2026,5,0.75,17.11,35.9,46.22,49.5,3,3,Proposed
P015,Thailand Packaging Energy Retrofit,BU02,Asia Pacific,Sustainability / Energy Efficiency,Energy efficiency,37.0,2026,4,8.22,12.8,13.02,13.67,0.0,2,3,Proposed
P016,Mexico Regional Co-Packing Program,BU02,Latin America,Cost Optimization,Supply-chain efficiency,28.0,2026,3,11.1,19.88,18.16,0.0,0.0,2,3,Proposed
P017,US Connected Diagnostics Capacity,BU03,North America,Capacity Expansion,Diagnostic access,150.0,2026,5,0.73,37.68,69.9,72.61,77.34,3,5,Proposed
P018,German Imaging Calibration Center,BU03,Europe,Infrastructure Modernization,Clinical quality,86.0,2026,5,12.64,34.62,37.12,38.11,37.46,2,4,Proposed
P019,Singapore Remote Monitoring Launch,BU03,Asia Pacific,Product Innovation,Connected care,65.0,2026,5,-0.07,17.85,28.78,30.78,30.01,4,4,Proposed
P020,Brazil Hospital Integration Network,BU03,Latin America,Market Expansion,Clinical interoperability,43.0,2026,4,0.98,10.16,19.92,28.34,0.0,4,4,Proposed
P021,North American Lab Service Automation,BU03,North America,Automation,Service productivity,38.0,2026,3,11.49,25.3,34.63,0.0,0.0,2,4,Proposed
P022,European Secure Clinical Data Fabric,BU03,Europe,Digital Transformation,Clinical data security,71.0,2026,5,1.27,16.73,25.92,26.82,32.74,3,5,Proposed
P023,India Portable Screening Platform,BU03,Asia Pacific,Product Innovation,Affordable diagnostics,49.0,2026,4,0.02,10.83,21.25,22.86,0.0,5,4,Proposed
P024,Mexico Diagnostic Service Depot,BU03,Latin America,Infrastructure Modernization,Equipment uptime,27.0,2026,3,9.71,18.32,22.98,0.0,0.0,1,3,Proposed
P025,European Foundry Consolidation Program,BU04,Europe,Cost Optimization,Industrial turnaround,210.0,2026,5,55.84,90.5,85.0,72.33,60.88,4,5,Proposed
P026,Ohio Precision Assembly Automation,BU04,North America,Automation,Factory productivity,145.0,2026,5,16.63,52.45,60.23,49.1,50.83,3,5,Proposed
P027,Vietnam Industrial Controls Expansion,BU04,Asia Pacific,Capacity Expansion,Regional capacity,95.0,2026,5,0.64,20.44,33.71,35.93,34.44,4,3,Proposed
P028,Brazil Heavy-Pump Production Line,BU04,Latin America,Capacity Expansion,Localized manufacturing,74.0,2026,5,-1.76,11.23,20.54,23.27,27.63,5,2,Proposed
P029,US Plant Predictive Maintenance,BU04,North America,Digital Transformation,Asset reliability,34.0,2026,3,3.72,20.95,30.68,0.0,0.0,2,4,Proposed
